Age,Experience,Income,Family,CCAvg,Education,Mortgage,Securities Account,CD Account,Online,CreditCard,Prediction
65,39,105,4,2.4,3,0,0,0,0,0,
43,18,22,2,0.3,2,0,0,0,1,0,
58,34,92,2,2.8,1,103,0,0,0,0,
54,29,12,2,0.2,3,0,0,0,1,0,
58,31,178,2,6.0,2,0,0,0,1,0,
60,36,93,1,4.3,1,0,0,0,1,0,
41,16,23,2,0.3,2,118,0,0,0,0,
66,41,70,3,2.2,1,0,0,0,0,0,
39,13,93,4,3.6,3,0,0,0,1,0,
45,20,22,1,0.1,1,0,0,0,0,0,
34,9,32,4,1.1,3,0,0,0,1,0,
62,37,125,1,1.0,3,0,0,0,1,0,
56,30,195,1,2.9,1,0,0,0,0,0,
55,25,58,4,2.0,3,219,0,0,0,1,
63,39,24,2,0.3,3,0,0,0,0,0,
